player_id,fname,lname,position,team
100,DeVonta,Smith,WR,Eagles
99,Demarcus,Lawrence,DE,Cowboys
98,Tristan,Wirfs,OT,Buccaneers
97,Harrison,Smith,S,Vikings
96,Taylor,Lawrence,QB,Jaguars
95,Jamaal,Williams,RB,Saints
94,Terry,McLaurin,WR,Commanders
93,Eric,Kendricks,LB,Chargers
92,Marlon,Humphrey,CB,Ravens
91,Dalvin,Cook,RB,Jets
90,Deandre,Hopkins,WR,Titans
89,Marshon,Lattimore,CB,Saints
88,Aidan,Hutchinson,DE,Lions
87,Chris,Lindstrom,OL,Falcons
86,Justin,Fields,QB,Bears
85,Laremy,Tunsil,OT,Texans
84,Za'Darius,Smith,LB,Browns
83,Terron,Armstead,OT,Dolphins
82,Tua,Tagovailoa,QB,Dolphins
81,Christian,Wilkins,DT,Dolphins
80,Mark,Andrews,TE,Ravens
79,Dre,Greenlaw,LB,49ers
78,Talanoa,Hufanga,S,49ers
77,Geno,Smith,QB,Seahawks
76,Tariq,Woolen,CB,Seahawks
75,Trey,Hendrickson,DE,Bengals
74,Garrett,Wilson,WR,Jets
73,Budda,Baker,S,Cardinals
72,Lamar,Jackson,QB,Ravens
71,DeForest,Buckner,DT,Colts
70,Joey,Bosa,LB,Chargers
69,Matt,Milano,LB,Bills
68,Zack,Martin,G,Cowboys
67,Amon-Ra St.,Brown,WR,Lions
66,Jared,Goff,QB,Lions
65,Darius,Slay,CB,Eagles
64,Aaron,Jones,RB,Packers
63,Grady,Jarrett,DE,Falcons
62,Bobby,Wagner,LB,Seahawks
61,Deebo,Samuel,WR,49ers
60,Trevon,Diggs,CB,Cowboys
59,Justin,Simmons,S,Broncos
58,Jeffery,Simmons,DT,Titans
57,Jordan,Poyer,S,Bills
56,Dak,Prescott,QB,Cowboys
55,Tony,Pollard,RB,Cowboys
54,Brian,Burns,LB,Panthers
53,Mike,Evans,WR,Buccaneers
52,Jonathan,Allen,DT,Commanders
51,Aaron,Rodgers,QB,Jets
50,Cameron,Jordan,EDGE,Saints
49,Patrick,Surtain II,CB,Broncos
48,Haason,Reddick,EDGE,Eagles
47,Cooper,Kupp,WR,Rams
46,C.J.,Mosley,LB,Jets
45,Cameron,Heyward,DT,Steelers
44,Jaylen,Waddle,WR,Dolphins
43,Demario,Davis,LB,Saints
42,Kirk,Cousins,QB,Vikings
41,Lane,Johnson,RT,Eagles
40,Quinnen,Williams,DT,Jets
39,Ja'Marr,Chase,WR,Bengals
38,Khalil,Mack,EDGE,Chargers
37,Jason,Kelce,C,Eagles
36,Jalen,Ramsey,CB,Dolphins
35,Christian,McCaffrey,RB,49ers
34,CeeDee,Lamb,WR,Cowboys
33,Matthew,Judon,EDGE,Patriots
32,Justin,Herbert,QB,Chargers
31,Saquon,Barkley,RB,Giants
30,Derwin,James,S,Chargers
29,Nick,Chubb,RB,Browns
28,Dexter,Lawrence,DL,Giants
27,T.J.,Watt,EDGE,Steelers
26,Jaire,Alexander,CB,Packers
25,Derrick,Henry,RB,Titans
24,Roquan,Smith,LB,Bears
23,Sauce,Gardner,CB,Jets
22,A.J.,Brown,WR,Eagles
21,Austin,Ekeler,RB,Chargers
20,Myles,Garrett,EDGE,Browns
19,George,Kittle,TE,49ers
18,Minkah,Fitzpatrick,S,Steelers
17,Maxx,Crosby,EDGE,Raiders
16,Stefon,Diggs,WR,Bills
15,Fred,Warner,LB,49ers
14,Trent,Williams,LT,49ers
13,Davante,Adams,WR,Raiders
12,Josh,Jacobs,RB,Raiders
11,Aaron,Donald,DT,Rams
10,Chris,Jones,DT,Chiefs
9,Micah,Parsons,EDGE,Cowboys
8,Josh,Allen,QB,Bills
7,Tyreek,Hill,WR,Dolphins
6,Joe,Burrow,QB,Bengals
5,Travis,Kelce,TE,Chiefs
4,Nick,Bosa,EDGE,49ers
3,Jalen,Hurts,QB,Eagles
2,Justin,Jefferson,WR,Vikings
1,Patrick,Mahomes,QB,Chiefs
