product_id,gender,title,details,player,team,color,size,price
1,mens,shirts,longsleeve,Null,Eagles,green,large,29.99
2,womans,shirts,longsleeve,Null,Eagles,green,large,29.99
3,mens,shirts,longsleeve,Null,Eagles,green,medium,29.99
4,womans,shirts,longsleeve,Null,Eagles,green,medium,29.99
5,mens,shirts,longsleeve,Null,Eagles,green,small,29.99
6,womans,shirts,longsleeve,Null,Eagles,green,small,29.99
7,mens,shirts,shortsleeve,Null,Eagles,green,large,29.99
8,womans,shirts,shortsleeve,Null,Eagles,green,large,29.99
9,mens,shirts,shortsleeve,Null,Eagles,green,medium,29.99
10,womans,shirts,shortsleeve,Null,Eagles,green,medium,29.99
11,mens,shirts,shortsleeve,Null,Eagles,green,small,29.99
12,womans,shirts,shortsleeve,Null,Eagles,green,small,29.99
13,mens,pants,joggers,Null,Eagles,green,large,32.49
14,womans,pants,joggers,Null,Eagles,green,large,32.49
15,mens,pants,joggers,Null,Eagles,green,medium,32.49
16,womans,pants,joggers,Null,Eagles,green,medium,32.49
17,mens,pants,joggers,Null,Eagles,green,small,32.49
18,womans,pants,joggers,Null,Eagles,green,small,32.49
19,mens,pants,shorts,Null,Eagles,green,large,32.49
20,womans,pants,shorts,Null,Eagles,green,large,32.49
21,mens,pants,shorts,Null,Eagles,green,medium,32.49
22,womans,pants,shorts,Null,Eagles,green,medium,32.49
23,mens,pants,shorts,Null,Eagles,green,small,32.49
24,womans,pants,shorts,Null,Eagles,green,small,32.49
25,mens,shoes,sneakers,Null,Eagles,green,large,55.5
26,womans,shoes,sneakers,Null,Eagles,green,large,55.5
27,mens,shoes,sneakers,Null,Eagles,green,medium,55.5
28,womans,shoes,sneakers,Null,Eagles,green,medium,55.5
29,mens,shoes,sneakers,Null,Eagles,green,small,55.5
30,womans,shoes,sneakers,Null,Eagles,green,small,55.5
31,mens,shoes,sandals,Null,Eagles,green,large,55.5
32,womans,shoes,sandals,Null,Eagles,green,large,55.5
33,mens,shoes,sandals,Null,Eagles,green,medium,55.5
34,womans,shoes,sandals,Null,Eagles,green,medium,55.5
35,mens,shoes,sandals,Null,Eagles,green,small,55.5
36,womans,shoes,sandals,Null,Eagles,green,small,55.5
37,mens,shirts,longsleeve,Null,Eagles,white,large,29.99
38,womans,shirts,longsleeve,Null,Eagles,white,large,29.99
39,mens,shirts,longsleeve,Null,Eagles,white,medium,29.99
40,womans,shirts,longsleeve,Null,Eagles,white,medium,29.99
41,mens,shirts,longsleeve,Null,Eagles,white,small,29.99
42,womans,shirts,longsleeve,Null,Eagles,white,small,29.99
43,mens,shirts,shortsleeve,Null,Eagles,white,large,29.99
44,womans,shirts,shortsleeve,Null,Eagles,white,large,29.99
45,mens,shirts,shortsleeve,Null,Eagles,white,medium,29.99
46,womans,shirts,shortsleeve,Null,Eagles,white,medium,29.99
47,mens,shirts,shortsleeve,Null,Eagles,white,small,29.99
48,womans,shirts,shortsleeve,Null,Eagles,white,small,29.99
49,mens,pants,joggers,Null,Eagles,white,large,32.49
50,womans,pants,joggers,Null,Eagles,white,large,32.49
51,mens,pants,joggers,Null,Eagles,white,medium,32.49
52,womans,pants,joggers,Null,Eagles,white,medium,32.49
53,mens,pants,joggers,Null,Eagles,white,small,32.49
54,womans,pants,joggers,Null,Eagles,white,small,32.49
55,mens,pants,shorts,Null,Eagles,white,large,32.49
56,womans,pants,shorts,Null,Eagles,white,large,32.49
57,mens,pants,shorts,Null,Eagles,white,medium,32.49
58,womans,pants,shorts,Null,Eagles,white,medium,32.49
59,mens,pants,shorts,Null,Eagles,white,small,32.49
60,womans,pants,shorts,Null,Eagles,white,small,32.49
61,mens,shoes,sneakers,Null,Eagles,white,large,55.5
62,womans,shoes,sneakers,Null,Eagles,white,large,55.5
63,mens,shoes,sneakers,Null,Eagles,white,medium,55.5
64,womans,shoes,sneakers,Null,Eagles,white,medium,55.5
65,mens,shoes,sneakers,Null,Eagles,white,small,55.5
66,womans,shoes,sneakers,Null,Eagles,white,small,55.5
67,mens,shoes,sandals,Null,Eagles,white,large,55.5
68,womans,shoes,sandals,Null,Eagles,white,large,55.5
69,mens,shoes,sandals,Null,Eagles,white,medium,55.5
70,womans,shoes,sandals,Null,Eagles,white,medium,55.5
71,mens,shoes,sandals,Null,Eagles,white,small,55.5
72,womans,shoes,sandals,Null,Eagles,white,small,55.5
73,mens,shirts,longsleeve,Null,Eagles,black,large,29.99
74,womans,shirts,longsleeve,Null,Eagles,black,large,29.99
75,mens,shirts,longsleeve,Null,Eagles,black,medium,29.99
76,womans,shirts,longsleeve,Null,Eagles,black,medium,29.99
77,mens,shirts,longsleeve,Null,Eagles,black,small,29.99
78,womans,shirts,longsleeve,Null,Eagles,black,small,29.99
79,mens,shirts,shortsleeve,Null,Eagles,black,large,29.99
80,womans,shirts,shortsleeve,Null,Eagles,black,large,29.99
81,mens,shirts,shortsleeve,Null,Eagles,black,medium,29.99
82,womans,shirts,shortsleeve,Null,Eagles,black,medium,29.99
83,mens,shirts,shortsleeve,Null,Eagles,black,small,29.99
84,womans,shirts,shortsleeve,Null,Eagles,black,small,29.99
85,mens,pants,joggers,Null,Eagles,black,large,32.49
86,womans,pants,joggers,Null,Eagles,black,large,32.49
87,mens,pants,joggers,Null,Eagles,black,medium,32.49
88,womans,pants,joggers,Null,Eagles,black,medium,32.49
89,mens,pants,joggers,Null,Eagles,black,small,32.49
90,womans,pants,joggers,Null,Eagles,black,small,32.49
91,mens,pants,shorts,Null,Eagles,black,large,32.49
92,womans,pants,shorts,Null,Eagles,black,large,32.49
93,mens,pants,shorts,Null,Eagles,black,medium,32.49
94,womans,pants,shorts,Null,Eagles,black,medium,32.49
95,mens,pants,shorts,Null,Eagles,black,small,32.49
96,womans,pants,shorts,Null,Eagles,black,small,32.49
97,mens,shoes,sneakers,Null,Eagles,black,large,55.5
98,womans,shoes,sneakers,Null,Eagles,black,large,55.5
99,mens,shoes,sneakers,Null,Eagles,black,medium,55.5
100,womans,shoes,sneakers,Null,Eagles,black,medium,55.5
101,mens,shoes,sneakers,Null,Eagles,black,small,55.5
102,womans,shoes,sneakers,Null,Eagles,black,small,55.5
103,mens,shoes,sandals,Null,Eagles,black,large,55.5
104,womans,shoes,sandals,Null,Eagles,black,large,55.5
105,mens,shoes,sandals,Null,Eagles,black,medium,55.5
106,womans,shoes,sandals,Null,Eagles,black,medium,55.5
107,mens,shoes,sandals,Null,Eagles,black,small,55.5
108,womans,shoes,sandals,Null,Eagles,black,small,55.5
109,mens,shirts,longsleeve,Null,Chiefs,red,large,29.99
110,womans,shirts,longsleeve,Null,Chiefs,red,large,29.99
111,mens,shirts,longsleeve,Null,Chiefs,red,medium,29.99
112,womans,shirts,longsleeve,Null,Chiefs,red,medium,29.99
113,mens,shirts,longsleeve,Null,Chiefs,red,small,29.99
114,womans,shirts,longsleeve,Null,Chiefs,red,small,29.99
115,mens,shirts,shortsleeve,Null,Chiefs,red,large,29.99
116,womans,shirts,shortsleeve,Null,Chiefs,red,large,29.99
117,mens,shirts,shortsleeve,Null,Chiefs,red,medium,29.99
118,womans,shirts,shortsleeve,Null,Chiefs,red,medium,29.99
119,mens,shirts,shortsleeve,Null,Chiefs,red,small,29.99
120,womans,shirts,shortsleeve,Null,Chiefs,red,small,29.99
121,mens,pants,joggers,Null,Chiefs,red,large,32.49
122,womans,pants,joggers,Null,Chiefs,red,large,32.49
123,mens,pants,joggers,Null,Chiefs,red,medium,32.49
124,womans,pants,joggers,Null,Chiefs,red,medium,32.49
125,mens,pants,joggers,Null,Chiefs,red,small,32.49
126,womans,pants,joggers,Null,Chiefs,red,small,32.49
127,mens,pants,shorts,Null,Chiefs,red,large,32.49
128,womans,pants,shorts,Null,Chiefs,red,large,32.49
129,mens,pants,shorts,Null,Chiefs,red,medium,32.49
130,womans,pants,shorts,Null,Chiefs,red,medium,32.49
131,mens,pants,shorts,Null,Chiefs,red,small,32.49
132,womans,pants,shorts,Null,Chiefs,red,small,32.49
133,mens,shoes,sneakers,Null,Chiefs,red,large,55.5
134,womans,shoes,sneakers,Null,Chiefs,red,large,55.5
135,mens,shoes,sneakers,Null,Chiefs,red,medium,55.5
136,womans,shoes,sneakers,Null,Chiefs,red,medium,55.5
137,mens,shoes,sneakers,Null,Chiefs,red,small,55.5
138,womans,shoes,sneakers,Null,Chiefs,red,small,55.5
139,mens,shoes,sandals,Null,Chiefs,red,large,55.5
140,womans,shoes,sandals,Null,Chiefs,red,large,55.5
141,mens,shoes,sandals,Null,Chiefs,red,medium,55.5
142,womans,shoes,sandals,Null,Chiefs,red,medium,55.5
143,mens,shoes,sandals,Null,Chiefs,red,small,55.5
144,womans,shoes,sandals,Null,Chiefs,red,small,55.5
145,mens,shirts,longsleeve,Null,Chiefs,white,large,29.99
146,womans,shirts,longsleeve,Null,Chiefs,white,large,29.99
147,mens,shirts,longsleeve,Null,Chiefs,white,medium,29.99
148,womans,shirts,longsleeve,Null,Chiefs,white,medium,29.99
149,mens,shirts,longsleeve,Null,Chiefs,white,small,29.99
150,womans,shirts,longsleeve,Null,Chiefs,white,small,29.99
151,mens,shirts,shortsleeve,Null,Chiefs,white,large,29.99
152,womans,shirts,shortsleeve,Null,Chiefs,white,large,29.99
153,mens,shirts,shortsleeve,Null,Chiefs,white,medium,29.99
154,womans,shirts,shortsleeve,Null,Chiefs,white,medium,29.99
155,mens,shirts,shortsleeve,Null,Chiefs,white,small,29.99
156,womans,shirts,shortsleeve,Null,Chiefs,white,small,29.99
157,mens,pants,joggers,Null,Chiefs,white,large,32.49
158,womans,pants,joggers,Null,Chiefs,white,large,32.49
159,mens,pants,joggers,Null,Chiefs,white,medium,32.49
160,womans,pants,joggers,Null,Chiefs,white,medium,32.49
161,mens,pants,joggers,Null,Chiefs,white,small,32.49
162,womans,pants,joggers,Null,Chiefs,white,small,32.49
163,mens,pants,shorts,Null,Chiefs,white,large,32.49
164,womans,pants,shorts,Null,Chiefs,white,large,32.49
165,mens,pants,shorts,Null,Chiefs,white,medium,32.49
166,womans,pants,shorts,Null,Chiefs,white,medium,32.49
167,mens,pants,shorts,Null,Chiefs,white,small,32.49
168,womans,pants,shorts,Null,Chiefs,white,small,32.49
169,mens,shoes,sneakers,Null,Chiefs,white,large,55.5
170,womans,shoes,sneakers,Null,Chiefs,white,large,55.5
171,mens,shoes,sneakers,Null,Chiefs,white,medium,55.5
172,womans,shoes,sneakers,Null,Chiefs,white,medium,55.5
173,mens,shoes,sneakers,Null,Chiefs,white,small,55.5
174,womans,shoes,sneakers,Null,Chiefs,white,small,55.5
175,mens,shoes,sandals,Null,Chiefs,white,large,55.5
176,womans,shoes,sandals,Null,Chiefs,white,large,55.5
177,mens,shoes,sandals,Null,Chiefs,white,medium,55.5
178,womans,shoes,sandals,Null,Chiefs,white,medium,55.5
179,mens,shoes,sandals,Null,Chiefs,white,small,55.5
180,womans,shoes,sandals,Null,Chiefs,white,small,55.5
181,mens,shirts,longsleeve,Null,Chiefs,yellow,large,29.99
182,womans,shirts,longsleeve,Null,Chiefs,yellow,large,29.99
183,mens,shirts,longsleeve,Null,Chiefs,yellow,medium,29.99
184,womans,shirts,longsleeve,Null,Chiefs,yellow,medium,29.99
185,mens,shirts,longsleeve,Null,Chiefs,yellow,small,29.99
186,womans,shirts,longsleeve,Null,Chiefs,yellow,small,29.99
187,mens,shirts,shortsleeve,Null,Chiefs,yellow,large,29.99
188,womans,shirts,shortsleeve,Null,Chiefs,yellow,large,29.99
189,mens,shirts,shortsleeve,Null,Chiefs,yellow,medium,29.99
190,womans,shirts,shortsleeve,Null,Chiefs,yellow,medium,29.99
191,mens,shirts,shortsleeve,Null,Chiefs,yellow,small,29.99
192,womans,shirts,shortsleeve,Null,Chiefs,yellow,small,29.99
193,mens,pants,joggers,Null,Chiefs,yellow,large,32.49
194,womans,pants,joggers,Null,Chiefs,yellow,large,32.49
195,mens,pants,joggers,Null,Chiefs,yellow,medium,32.49
196,womans,pants,joggers,Null,Chiefs,yellow,medium,32.49
197,mens,pants,joggers,Null,Chiefs,yellow,small,32.49
198,womans,pants,joggers,Null,Chiefs,yellow,small,32.49
199,mens,pants,shorts,Null,Chiefs,yellow,large,32.49
200,womans,pants,shorts,Null,Chiefs,yellow,large,32.49
201,mens,pants,shorts,Null,Chiefs,yellow,medium,32.49
202,womans,pants,shorts,Null,Chiefs,yellow,medium,32.49
203,mens,pants,shorts,Null,Chiefs,yellow,small,32.49
204,womans,pants,shorts,Null,Chiefs,yellow,small,32.49
